,year,mean_temp
0,1901,0.14432989690721598
1,1902,0.1134020618556697
2,1903,0.1134020618556697
3,1904,0.10309278350515427
4,1905,0.1546391752577314
5,1906,0.1546391752577314
6,1907,0.07216494845360444
7,1908,0.14432989690721598
8,1909,0.13402061855670055
9,1910,0.1134020618556697
10,1911,0.28865979381443196
11,1912,0.3505154639175281
12,1913,0.3092783505154628
13,1914,0.40206185567010166
14,1915,0.37113402061855894
15,1916,0.20618556701030855
16,1917,0.1855670103092777
17,1918,0.08247422680412342
18,1919,0.3092783505154628
19,1920,0.3092783505154628
20,1921,0.19587628865979312
21,1922,0.19587628865979312
22,1923,0.19587628865979312
23,1924,0.25773195876288924
24,1925,0.20618556701030855
25,1926,0.36082474226803996
26,1927,0.28865979381443196
27,1928,0.2989690721649474
28,1929,0.16494845360824684
29,1930,0.3092783505154628
30,1931,0.4123711340206171
31,1932,0.21649484536082397
32,1933,0.23711340206185483
33,1934,0.1546391752577314
34,1935,0.27835051546391654
35,1936,0.2989690721649474
36,1937,0.28865979381443196
37,1938,0.28865979381443196
38,1939,0.25773195876288924
39,1940,0.2989690721649474
40,1941,0.5773195876288675
41,1942,0.2989690721649474
42,1943,0.12371134020618513
43,1944,0.17525773195876226
44,1945,0.1855670103092777
45,1946,0.3092783505154628
46,1947,0.31958762886597825
47,1948,0.37113402061855894
48,1949,0.2680412371134011
49,1950,0.24742268041237025
50,1951,0.2680412371134011
51,1952,0.23711340206185483
52,1953,0.2989690721649474
53,1954,0.16494845360824684
54,1955,0.12371134020618513
55,1956,0.020618556701030855
56,1957,0.27835051546391654
57,1958,0.4432989690721669
58,1959,0.23711340206185483
59,1960,0.2680412371134011
60,1961,0.13402061855670055
61,1962,0.10309278350515427
62,1963,0.17525773195876226
63,1964,0.17525773195876226
64,1965,0.08247422680412342
65,1966,0.27835051546391654
66,1967,0.09278350515463885
67,1968,0.1546391752577314
68,1969,0.39175257731958624
69,1970,0.3298969072164937
70,1971,0.09278350515463885
71,1972,0.3505154639175281
72,1973,0.5154639175257749
73,1974,0.1546391752577314
74,1975,0.1855670103092777
75,1976,0.0
76,1977,0.14432989690721598
77,1978,0.23711340206185483
78,1979,0.3505154639175281
79,1980,0.3505154639175281
80,1981,0.43298969072164795
81,1982,0.36082474226803996
82,1983,0.5670103092783485
83,1984,0.061855670103092564
84,1985,0.3092783505154628
85,1986,0.40206185567010166
86,1987,0.6391752577319565
87,1988,0.5257731958762868
88,1989,0.37113402061855894
89,1990,0.6082474226804138
90,1991,0.5463917525773176
91,1992,0.5463917525773176
92,1993,0.5051546391752559
93,1994,0.5360824742268058
94,1995,0.5773195876288675
95,1996,0.5773195876288675
96,1997,0.6907216494845372
97,1998,0.9484536082474229
98,1999,0.5257731958762868
99,2000,0.6082474226804138
100,2001,0.6701030927835063
101,2002,0.8041237113402069
102,2003,0.6597938144329873
103,2004,0.6804123711340218
104,2005,0.6907216494845372
105,2006,0.5773195876288675
106,2007,0.5979381443298948
107,2008,0.4639175257731978
108,2009,0.7422680412371143
109,2010,0.845360824742265
110,2011,0.6391752577319565
111,2012,0.7525773195876262
112,2013,0.8144329896907223
113,2014,0.8041237113402069
114,2015,0.8865979381443303
115,2016,1.0
116,2017,0.7938144329896915
117,2018,0.8041237113402069
118,2019,0.9690721649484537
119,2020,0.9484536082474229
120,2021,0.7525773195876262
